******************      Log   20210803       ******************
3/08/2021 12:54:29 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 12:55:28 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 12:56:10 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 13:01:04 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 13:02:34 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 13:12:17 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 13:12:39 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 13:51:07 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 13:51:24 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 13:54:27 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 13:54:45 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 13:56:45 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 13:57:12 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 14:44:03 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 14:44:09 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 15:11:18 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 15:11:29 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 17:38:56 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 17:39:13 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 17:44:10 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 17:44:16 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 17:49:34 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 17:49:39 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
3/08/2021 17:53:44 ==>  Ejecutando Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || Total Conversaciones:78 || Page: 1
3/08/2021 17:53:49 ==>  Intervalo: 2021-06-01T00:00:00/2021-06-30T23:59:59 || FINALIZADO || Total Conversaciones: 78
